temperature,qid,prompt1,prompt2,similarity
0.1,Q1,detailed,original,0.819913
0.1,Q1,detailed,step_by_step,0.83100873
0.1,Q1,detailed,brief,0.88872635
0.1,Q1,detailed,expert,0.83289236
0.1,Q1,detailed,detailed,0.79749644
0.1,Q1,detailed,noisy,0.7866138
0.1,Q1,detailed,original,0.9151511
0.1,Q1,detailed,step_by_step,0.9095461
0.1,Q1,detailed,brief,0.8634273
0.1,Q1,detailed,expert,0.8987328
0.1,Q1,detailed,detailed,0.94095665
0.1,Q1,detailed,noisy,0.86035514
0.1,Q1,noisy,original,0.888913
0.1,Q1,noisy,step_by_step,0.89136
0.1,Q1,noisy,brief,0.83740747
0.1,Q1,noisy,expert,0.85017467
0.1,Q1,noisy,detailed,0.9093424
0.1,Q1,noisy,noisy,0.9215913
0.1,Q1,noisy,original,0.85682714
0.1,Q1,noisy,step_by_step,0.88826704
0.1,Q1,noisy,brief,0.8291173
0.1,Q1,noisy,expert,0.864859
0.1,Q1,noisy,detailed,0.8408434
0.1,Q1,noisy,noisy,0.8273972
0.1,Q1,noisy,original,0.893543
0.1,Q1,noisy,step_by_step,0.89025253
0.1,Q1,noisy,brief,0.80098546
0.1,Q1,noisy,expert,0.90736634
0.1,Q1,noisy,detailed,0.90263855
0.1,Q1,noisy,noisy,0.8876535
0.1,Q1,original,step_by_step,0.8883629
0.1,Q1,original,brief,0.8204746
0.1,Q1,original,expert,0.85116327
0.1,Q1,original,detailed,0.90400743
0.1,Q1,original,noisy,0.94292516
0.1,Q1,original,original,0.8750827
0.1,Q1,original,step_by_step,0.88876736
0.1,Q1,original,brief,0.82957876
0.1,Q1,original,expert,0.8598027
0.1,Q1,original,detailed,0.83630955
0.1,Q1,original,noisy,0.81968164
0.1,Q1,original,original,0.8901471
0.1,Q1,original,step_by_step,0.8466047
0.1,Q1,original,brief,0.7862861
0.1,Q1,original,expert,0.9192582
0.1,Q1,original,detailed,0.88133365
0.1,Q1,original,noisy,0.8745967
0.1,Q1,step_by_step,brief,0.80652314
0.1,Q1,step_by_step,expert,0.8473927
0.1,Q1,step_by_step,detailed,0.92975247
0.1,Q1,step_by_step,noisy,0.9145728
0.1,Q1,step_by_step,original,0.83968574
0.1,Q1,step_by_step,step_by_step,0.84686244
0.1,Q1,step_by_step,brief,0.8161441
0.1,Q1,step_by_step,expert,0.83527994
0.1,Q1,step_by_step,detailed,0.8127428
0.1,Q1,step_by_step,noisy,0.82472605
0.1,Q1,step_by_step,original,0.91581035
0.1,Q1,step_by_step,step_by_step,0.9227276
0.1,Q1,step_by_step,brief,0.79186773
0.1,Q1,step_by_step,expert,0.8961159
0.1,Q1,step_by_step,detailed,0.92740554
0.1,Q1,step_by_step,noisy,0.87098217
0.1,Q1,brief,expert,0.8330589
0.1,Q1,brief,detailed,0.850641
0.1,Q1,brief,noisy,0.8147131
0.1,Q1,brief,original,0.7817697
0.1,Q1,brief,step_by_step,0.8079039
0.1,Q1,brief,brief,0.87491494
0.1,Q1,brief,expert,0.8091743
0.1,Q1,brief,detailed,0.773792
0.1,Q1,brief,noisy,0.7669343
0.1,Q1,brief,original,0.8366111
0.1,Q1,brief,step_by_step,0.8034016
0.1,Q1,brief,brief,0.8541187
0.1,Q1,brief,expert,0.8549118
0.1,Q1,brief,detailed,0.83781433
0.1,Q1,brief,noisy,0.8146941
0.1,Q1,expert,detailed,0.8840924
0.1,Q1,expert,noisy,0.86093116
0.1,Q1,expert,original,0.85901564
0.1,Q1,expert,step_by_step,0.8860735
0.1,Q1,expert,brief,0.83643067
0.1,Q1,expert,expert,0.8669317
0.1,Q1,expert,detailed,0.87909985
0.1,Q1,expert,noisy,0.8494314
0.1,Q1,expert,original,0.88926136
0.1,Q1,expert,step_by_step,0.85513884
0.1,Q1,expert,brief,0.833905
0.1,Q1,expert,expert,0.87508214
0.1,Q1,expert,detailed,0.8741448
0.1,Q1,expert,noisy,0.8722291
0.1,Q1,detailed,noisy,0.93130386
0.1,Q1,detailed,original,0.87420595
0.1,Q1,detailed,step_by_step,0.88679683
0.1,Q1,detailed,brief,0.895441
0.1,Q1,detailed,expert,0.8724656
0.1,Q1,detailed,detailed,0.8590708
0.1,Q1,detailed,noisy,0.8308214
0.1,Q1,detailed,original,0.9439556
0.1,Q1,detailed,step_by_step,0.92355764
0.1,Q1,detailed,brief,0.8393184
0.1,Q1,detailed,expert,0.93985826
0.1,Q1,detailed,detailed,0.93124706
0.1,Q1,detailed,noisy,0.90843946
0.1,Q1,noisy,original,0.877254
0.1,Q1,noisy,step_by_step,0.90160894
0.1,Q1,noisy,brief,0.8449788
0.1,Q1,noisy,expert,0.8820219
0.1,Q1,noisy,detailed,0.8636209
0.1,Q1,noisy,noisy,0.8409265
0.1,Q1,noisy,original,0.9163782
0.1,Q1,noisy,step_by_step,0.87178886
0.1,Q1,noisy,brief,0.77803636
0.1,Q1,noisy,expert,0.93300176
0.1,Q1,noisy,detailed,0.9052857
0.1,Q1,noisy,noisy,0.8834444
0.1,Q1,original,step_by_step,0.9271057
0.1,Q1,original,brief,0.8098157
0.1,Q1,original,expert,0.9754234
0.1,Q1,original,detailed,0.913784
0.1,Q1,original,noisy,0.9468427
0.1,Q1,original,original,0.9144968
0.1,Q1,original,step_by_step,0.82695186
0.1,Q1,original,brief,0.800595
0.1,Q1,original,expert,0.9106449
0.1,Q1,original,detailed,0.83245754
0.1,Q1,original,noisy,0.883885
0.1,Q1,step_by_step,brief,0.83429086
0.1,Q1,step_by_step,expert,0.9219951
0.1,Q1,step_by_step,detailed,0.9181679
0.1,Q1,step_by_step,noisy,0.88619083
0.1,Q1,step_by_step,original,0.8910415
0.1,Q1,step_by_step,step_by_step,0.84438086
0.1,Q1,step_by_step,brief,0.7736232
0.1,Q1,step_by_step,expert,0.9253142
0.1,Q1,step_by_step,detailed,0.85010755
0.1,Q1,step_by_step,noisy,0.9157657
0.1,Q1,brief,expert,0.8226212
0.1,Q1,brief,detailed,0.8107635
0.1,Q1,brief,noisy,0.7676803
0.1,Q1,brief,original,0.8676468
0.1,Q1,brief,step_by_step,0.82556045
0.1,Q1,brief,brief,0.8766067
0.1,Q1,brief,expert,0.87325215
0.1,Q1,brief,detailed,0.8495786
0.1,Q1,brief,noisy,0.83095
0.1,Q1,expert,detailed,0.91472924
0.1,Q1,expert,noisy,0.97286046
0.1,Q1,expert,original,0.9272468
0.1,Q1,expert,step_by_step,0.83167994
0.1,Q1,expert,brief,0.81498885
0.1,Q1,expert,expert,0.9026378
0.1,Q1,expert,detailed,0.8337629
0.1,Q1,expert,noisy,0.86550725
0.1,Q1,detailed,noisy,0.88407266
0.1,Q1,detailed,original,0.8932154
0.1,Q1,detailed,step_by_step,0.80867743
0.1,Q1,detailed,brief,0.773726
0.1,Q1,detailed,expert,0.8812349
0.1,Q1,detailed,detailed,0.8311431
0.1,Q1,detailed,noisy,0.8721988
0.1,Q1,noisy,original,0.90528226
0.1,Q1,noisy,step_by_step,0.81624424
0.1,Q1,noisy,brief,0.77550364
0.1,Q1,noisy,expert,0.8542196
0.1,Q1,noisy,detailed,0.79850155
0.1,Q1,noisy,noisy,0.8268383
0.1,Q1,original,step_by_step,0.8985616
0.1,Q1,original,brief,0.8336797
0.1,Q1,original,expert,0.9320167
0.1,Q1,original,detailed,0.9195945
0.1,Q1,original,noisy,0.9010834
0.1,Q1,step_by_step,brief,0.8023361
0.1,Q1,step_by_step,expert,0.8679092
0.1,Q1,step_by_step,detailed,0.9192871
0.1,Q1,step_by_step,noisy,0.87256646
0.1,Q1,brief,expert,0.8123184
0.1,Q1,brief,detailed,0.8117627
0.1,Q1,brief,noisy,0.7654426
0.1,Q1,expert,detailed,0.90157807
0.1,Q1,expert,noisy,0.9246937
0.1,Q1,detailed,noisy,0.9182776
0.1,Q10,original,step_by_step,0.59589875
0.1,Q10,original,brief,0.95448494
0.1,Q10,original,expert,0.92353404
0.1,Q10,original,detailed,1.0000001
0.1,Q10,original,noisy,1.0000001
0.1,Q10,original,original,0.98146105
0.1,Q10,original,step_by_step,0.5988059
0.1,Q10,original,brief,0.9743973
0.1,Q10,original,expert,0.954579
0.1,Q10,original,detailed,0.84929883
0.1,Q10,original,noisy,0.9666635
0.1,Q10,original,original,0.96088123
0.1,Q10,original,step_by_step,0.7037229
0.1,Q10,original,brief,0.7356516
0.1,Q10,original,expert,0.8975776
0.1,Q10,original,detailed,0.7470264
0.1,Q10,original,noisy,0.91520494
0.1,Q10,original,original,0.80553305
0.1,Q10,original,step_by_step,0.78814536
0.1,Q10,original,brief,0.90138257
0.1,Q10,original,expert,0.86309433
0.1,Q10,original,detailed,0.75752246
0.1,Q10,original,noisy,0.8229505
0.1,Q10,step_by_step,brief,0.60744405
0.1,Q10,step_by_step,expert,0.7567055
0.1,Q10,step_by_step,detailed,0.59589875
0.1,Q10,step_by_step,noisy,0.59589875
0.1,Q10,step_by_step,original,0.62359804
0.1,Q10,step_by_step,step_by_step,0.7350795
0.1,Q10,step_by_step,brief,0.5876241
0.1,Q10,step_by_step,expert,0.66939485
0.1,Q10,step_by_step,detailed,0.79347193
0.1,Q10,step_by_step,noisy,0.6202427
0.1,Q10,step_by_step,original,0.6448604
0.1,Q10,step_by_step,step_by_step,0.8757968
0.1,Q10,step_by_step,brief,0.1775527
0.1,Q10,step_by_step,expert,0.6716577
0.1,Q10,step_by_step,detailed,0.7990668
0.1,Q10,step_by_step,noisy,0.6585842
0.1,Q10,step_by_step,original,0.6832197
0.1,Q10,step_by_step,step_by_step,0.76897866
0.1,Q10,step_by_step,brief,0.5853172
0.1,Q10,step_by_step,expert,0.62488043
0.1,Q10,step_by_step,detailed,0.7616497
0.1,Q10,step_by_step,noisy,0.6470258
0.1,Q10,brief,expert,0.9055095
0.1,Q10,brief,detailed,0.95448494
0.1,Q10,brief,noisy,0.95448494
0.1,Q10,brief,original,0.96180534
0.1,Q10,brief,step_by_step,0.6080468
0.1,Q10,brief,brief,0.91225445
0.1,Q10,brief,expert,0.9320481
0.1,Q10,brief,detailed,0.8222636
0.1,Q10,brief,noisy,0.94092685
0.1,Q10,brief,original,0.9302447
0.1,Q10,brief,step_by_step,0.6984662
0.1,Q10,brief,brief,0.63061756
0.1,Q10,brief,expert,0.8620981
0.1,Q10,brief,detailed,0.68338895
0.1,Q10,brief,noisy,0.9533363
0.1,Q10,brief,original,0.75033414
0.1,Q10,brief,step_by_step,0.7544921
0.1,Q10,brief,brief,0.9185553
0.1,Q10,brief,expert,0.8014119
0.1,Q10,brief,detailed,0.7108151
0.1,Q10,brief,noisy,0.74889266
0.1,Q10,expert,detailed,0.92353404
0.1,Q10,expert,noisy,0.92353404
0.1,Q10,expert,original,0.93725157
0.1,Q10,expert,step_by_step,0.7041093
0.1,Q10,expert,brief,0.88902205
0.1,Q10,expert,expert,0.94419885
0.1,Q10,expert,detailed,0.8956356
0.1,Q10,expert,noisy,0.9272157
0.1,Q10,expert,original,0.8941605
0.1,Q10,expert,step_by_step,0.8115319
0.1,Q10,expert,brief,0.5663278
0.1,Q10,expert,expert,0.8934206
0.1,Q10,expert,detailed,0.7974394
0.1,Q10,expert,noisy,0.87547505
0.1,Q10,expert,original,0.82834446
0.1,Q10,expert,step_by_step,0.8337914
0.1,Q10,expert,brief,0.8442124
0.1,Q10,expert,expert,0.84671795
0.1,Q10,expert,detailed,0.8103086
0.1,Q10,expert,noisy,0.83203816
0.1,Q10,detailed,noisy,1.0000001
0.1,Q10,detailed,original,0.98146105
0.1,Q10,detailed,step_by_step,0.5988059
0.1,Q10,detailed,brief,0.9743973
0.1,Q10,detailed,expert,0.954579
0.1,Q10,detailed,detailed,0.84929883
0.1,Q10,detailed,noisy,0.9666635
0.1,Q10,detailed,original,0.96088123
0.1,Q10,detailed,step_by_step,0.7037229
0.1,Q10,detailed,brief,0.7356516
0.1,Q10,detailed,expert,0.8975776
0.1,Q10,detailed,detailed,0.7470264
0.1,Q10,detailed,noisy,0.91520494
0.1,Q10,detailed,original,0.80553305
0.1,Q10,detailed,step_by_step,0.78814536
0.1,Q10,detailed,brief,0.90138257
0.1,Q10,detailed,expert,0.86309433
0.1,Q10,detailed,detailed,0.75752246
0.1,Q10,detailed,noisy,0.8229505
0.1,Q10,noisy,original,0.98146105
0.1,Q10,noisy,step_by_step,0.5988059
0.1,Q10,noisy,brief,0.9743973
0.1,Q10,noisy,expert,0.954579
0.1,Q10,noisy,detailed,0.84929883
0.1,Q10,noisy,noisy,0.9666635
0.1,Q10,noisy,original,0.96088123
0.1,Q10,noisy,step_by_step,0.7037229
0.1,Q10,noisy,brief,0.7356516
0.1,Q10,noisy,expert,0.8975776
0.1,Q10,noisy,detailed,0.7470264
0.1,Q10,noisy,noisy,0.91520494
0.1,Q10,noisy,original,0.80553305
0.1,Q10,noisy,step_by_step,0.78814536
0.1,Q10,noisy,brief,0.90138257
0.1,Q10,noisy,expert,0.86309433
0.1,Q10,noisy,detailed,0.75752246
0.1,Q10,noisy,noisy,0.8229505
0.1,Q10,original,step_by_step,0.6378554
0.1,Q10,original,brief,0.9535151
0.1,Q10,original,expert,0.97471285
0.1,Q10,original,detailed,0.84357756
0.1,Q10,original,noisy,0.9841006
0.1,Q10,original,original,0.95220625
0.1,Q10,original,step_by_step,0.7216902
0.1,Q10,original,brief,0.67762065
0.1,Q10,original,expert,0.9046334
0.1,Q10,original,detailed,0.74029934
0.1,Q10,original,noisy,0.9282557
0.1,Q10,original,original,0.811767
0.1,Q10,original,step_by_step,0.7829796
0.1,Q10,original,brief,0.90647113
0.1,Q10,original,expert,0.87247527
0.1,Q10,original,detailed,0.7642258
0.1,Q10,original,noisy,0.8267502
0.1,Q10,step_by_step,brief,0.58046234
0.1,Q10,step_by_step,expert,0.6786238
0.1,Q10,step_by_step,detailed,0.71627176
0.1,Q10,step_by_step,noisy,0.6441184
0.1,Q10,step_by_step,original,0.6486702
0.1,Q10,step_by_step,step_by_step,0.7346376
0.1,Q10,step_by_step,brief,0.26207903
0.1,Q10,step_by_step,expert,0.64168817
0.1,Q10,step_by_step,detailed,0.6884489
0.1,Q10,step_by_step,noisy,0.6485878
0.1,Q10,step_by_step,original,0.63677824
0.1,Q10,step_by_step,step_by_step,0.70619655
0.1,Q10,step_by_step,brief,0.5763398
0.1,Q10,step_by_step,expert,0.5960556
0.1,Q10,step_by_step,detailed,0.69144166
0.1,Q10,step_by_step,noisy,0.64585555
0.1,Q10,brief,expert,0.9227426
0.1,Q10,brief,detailed,0.8090125
0.1,Q10,brief,noisy,0.94112396
0.1,Q10,brief,original,0.93672264
0.1,Q10,brief,step_by_step,0.6812167
0.1,Q10,brief,brief,0.73937094
0.1,Q10,brief,expert,0.8795655
0.1,Q10,brief,detailed,0.7498043
0.1,Q10,brief,noisy,0.8811059
0.1,Q10,brief,original,0.80171
0.1,Q10,brief,step_by_step,0.7854074
0.1,Q10,brief,brief,0.90727985
0.1,Q10,brief,expert,0.86149955
0.1,Q10,brief,detailed,0.7595917
0.1,Q10,brief,noisy,0.82410645
0.1,Q10,expert,detailed,0.8724115
0.1,Q10,expert,noisy,0.9861613
0.1,Q10,expert,original,0.9469781
0.1,Q10,expert,step_by_step,0.7644504
0.1,Q10,expert,brief,0.61063045
0.1,Q10,expert,expert,0.9130491
0.1,Q10,expert,detailed,0.7774439
0.1,Q10,expert,noisy,0.9175218
0.1,Q10,expert,original,0.83714855
0.1,Q10,expert,step_by_step,0.81827533
0.1,Q10,expert,brief,0.8818979
0.1,Q10,expert,expert,0.8795704
0.1,Q10,expert,detailed,0.78823495
0.1,Q10,expert,noisy,0.8528553
0.1,Q10,detailed,noisy,0.843971
0.1,Q10,detailed,original,0.8452198
0.1,Q10,detailed,step_by_step,0.8366418
0.1,Q10,detailed,brief,0.50653976
0.1,Q10,detailed,expert,0.84240663
0.1,Q10,detailed,detailed,0.8409454
0.1,Q10,detailed,noisy,0.818475
0.1,Q10,detailed,original,0.8164202
0.1,Q10,detailed,step_by_step,0.88381493
0.1,Q10,detailed,brief,0.77720046
0.1,Q10,detailed,expert,0.79419124
0.1,Q10,detailed,detailed,0.8133471
0.1,Q10,detailed,noisy,0.81856954
0.1,Q10,noisy,original,0.94363666
0.1,Q10,noisy,step_by_step,0.7253295
0.1,Q10,noisy,brief,0.65788054
0.1,Q10,noisy,expert,0.9028239
0.1,Q10,noisy,detailed,0.7522994
0.1,Q10,noisy,noisy,0.91361517
0.1,Q10,noisy,original,0.8160273
0.1,Q10,noisy,step_by_step,0.7937023
0.1,Q10,noisy,brief,0.89278746
0.1,Q10,noisy,expert,0.88147545
0.1,Q10,noisy,detailed,0.7681261
0.1,Q10,noisy,noisy,0.84414464
0.1,Q10,original,step_by_step,0.74691916
0.1,Q10,original,brief,0.64768493
0.1,Q10,original,expert,0.89467806
0.1,Q10,original,detailed,0.779723
0.1,Q10,original,noisy,0.9680469
0.1,Q10,original,original,0.80621517
0.1,Q10,original,step_by_step,0.8138604
0.1,Q10,original,brief,0.8813722
0.1,Q10,original,expert,0.85099316
0.1,Q10,original,detailed,0.7798579
0.1,Q10,original,noisy,0.8229208
0.1,Q10,step_by_step,brief,0.29015684
0.1,Q10,step_by_step,expert,0.7776232
0.1,Q10,step_by_step,detailed,0.8602233
0.1,Q10,step_by_step,noisy,0.74160254
0.1,Q10,step_by_step,original,0.79318756
0.1,Q10,step_by_step,step_by_step,0.84846175
0.1,Q10,step_by_step,brief,0.6924678
0.1,Q10,step_by_step,expert,0.7282202
0.1,Q10,step_by_step,detailed,0.82385886
0.1,Q10,step_by_step,noisy,0.76848006
0.1,Q10,brief,expert,0.6039009
0.1,Q10,brief,detailed,0.45178798
0.1,Q10,brief,noisy,0.559471
0.1,Q10,brief,original,0.46760637
0.1,Q10,brief,step_by_step,0.49237898
0.1,Q10,brief,brief,0.6110662
0.1,Q10,brief,expert,0.5906826
0.1,Q10,brief,detailed,0.41284412
0.1,Q10,brief,noisy,0.50333
0.1,Q10,expert,detailed,0.85011274
0.1,Q10,expert,noisy,0.85632706
0.1,Q10,expert,original,0.88823867
0.1,Q10,expert,step_by_step,0.864343
0.1,Q10,expert,brief,0.8632598
0.1,Q10,expert,expert,0.9230521
0.1,Q10,expert,detailed,0.8823246
0.1,Q10,expert,noisy,0.8956227
0.1,Q10,detailed,noisy,0.72355044
0.1,Q10,detailed,original,0.84564126
0.1,Q10,detailed,step_by_step,0.9301587
0.1,Q10,detailed,brief,0.7118721
0.1,Q10,detailed,expert,0.8235705
0.1,Q10,detailed,detailed,0.9071046
0.1,Q10,detailed,noisy,0.8523164
0.1,Q10,noisy,original,0.7515185
0.1,Q10,noisy,step_by_step,0.7778466
0.1,Q10,noisy,brief,0.88137645
0.1,Q10,noisy,expert,0.79614913
0.1,Q10,noisy,detailed,0.73704106
0.1,Q10,noisy,noisy,0.7542262
0.1,Q10,original,step_by_step,0.84800845
0.1,Q10,original,brief,0.81009376
0.1,Q10,original,expert,0.8759124
0.1,Q10,original,detailed,0.90630054
0.1,Q10,original,noisy,0.93642616
0.1,Q10,step_by_step,brief,0.7623567
0.1,Q10,step_by_step,expert,0.823842
0.1,Q10,step_by_step,detailed,0.9030241
0.1,Q10,step_by_step,noisy,0.8531293
0.1,Q10,brief,expert,0.82561004
0.1,Q10,brief,detailed,0.747653
0.1,Q10,brief,noisy,0.78996474
0.1,Q10,expert,detailed,0.848404
0.1,Q10,expert,noisy,0.8986715
0.1,Q10,detailed,noisy,0.92031807
0.1,Q11,original,step_by_step,0.35133374
0.1,Q11,original,brief,0.44603115
0.1,Q11,original,expert,0.41190696
0.1,Q11,original,detailed,0.34344035
0.1,Q11,original,noisy,0.98656917
0.1,Q11,original,original,0.7752547
0.1,Q11,original,step_by_step,0.33246452
0.1,Q11,original,brief,0.3390646
0.1,Q11,original,expert,0.5301363
0.1,Q11,original,detailed,0.8038008
0.1,Q11,original,noisy,0.7809756
0.1,Q11,original,original,0.58080596
0.1,Q11,original,step_by_step,0.2940526
0.1,Q11,original,brief,0.6125814
0.1,Q11,original,expert,0.48879665
0.1,Q11,original,detailed,0.35465783
0.1,Q11,original,noisy,0.58080596
0.1,Q11,original,original,0.41871145
0.1,Q11,original,step_by_step,0.24821723
0.1,Q11,original,brief,0.42830187
0.1,Q11,original,expert,0.44152546
0.1,Q11,original,detailed,0.5139574
0.1,Q11,original,noisy,0.4404014
0.1,Q11,step_by_step,brief,0.21564847
0.1,Q11,step_by_step,expert,0.1845027
0.1,Q11,step_by_step,detailed,0.5731046
0.1,Q11,step_by_step,noisy,0.3238116
0.1,Q11,step_by_step,original,0.26405644
0.1,Q11,step_by_step,step_by_step,0.5914638
0.1,Q11,step_by_step,brief,0.2687816
0.1,Q11,step_by_step,expert,0.17382167
0.1,Q11,step_by_step,detailed,0.35629794
0.1,Q11,step_by_step,noisy,0.3190103
0.1,Q11,step_by_step,original,0.49088663
0.1,Q11,step_by_step,step_by_step,0.6325172
0.1,Q11,step_by_step,brief,0.37520587
0.1,Q11,step_by_step,expert,0.2144406
0.1,Q11,step_by_step,detailed,0.5788054
0.1,Q11,step_by_step,noisy,0.49088663
0.1,Q11,step_by_step,original,0.56830347
0.1,Q11,step_by_step,step_by_step,0.5972272
0.1,Q11,step_by_step,brief,0.49306363
0.1,Q11,step_by_step,expert,0.47886175
0.1,Q11,step_by_step,detailed,0.50048614
0.1,Q11,step_by_step,noisy,0.56377673
0.1,Q11,brief,expert,0.7962631
0.1,Q11,brief,detailed,0.31213748
0.1,Q11,brief,noisy,0.43249545
0.1,Q11,brief,original,0.5028262
0.1,Q11,brief,step_by_step,0.36043045
0.1,Q11,brief,brief,0.57551485
0.1,Q11,brief,expert,0.5327116
0.1,Q11,brief,detailed,0.5817339
0.1,Q11,brief,noisy,0.55037546
0.1,Q11,brief,original,0.682508
0.1,Q11,brief,step_by_step,0.17054941
0.1,Q11,brief,brief,0.59400165
0.1,Q11,brief,expert,0.6577983
0.1,Q11,brief,detailed,0.43859288
0.1,Q11,brief,noisy,0.682508
0.1,Q11,brief,original,0.6119949
0.1,Q11,brief,step_by_step,0.28342086
0.1,Q11,brief,brief,0.6013515
0.1,Q11,brief,expert,0.61253035
0.1,Q11,brief,detailed,0.6554227
0.1,Q11,brief,noisy,0.6117827
0.1,Q11,expert,detailed,0.28415164
0.1,Q11,expert,noisy,0.39450496
0.1,Q11,expert,original,0.44165957
0.1,Q11,expert,step_by_step,0.32717887
0.1,Q11,expert,brief,0.34074712
0.1,Q11,expert,expert,0.50281847
0.1,Q11,expert,detailed,0.5442148
0.1,Q11,expert,noisy,0.5022789
0.1,Q11,expert,original,0.64239717
0.1,Q11,expert,step_by_step,0.16343807
0.1,Q11,expert,brief,0.47971034
0.1,Q11,expert,expert,0.59694755
0.1,Q11,expert,detailed,0.35366064
0.1,Q11,expert,noisy,0.64239717
0.1,Q11,expert,original,0.53448176
0.1,Q11,expert,step_by_step,0.25775594
0.1,Q11,expert,brief,0.51641417
0.1,Q11,expert,expert,0.58960456
0.1,Q11,expert,detailed,0.67539465
0.1,Q11,expert,noisy,0.5332885
0.1,Q11,detailed,noisy,0.32179376
0.1,Q11,detailed,original,0.3242123
0.1,Q11,detailed,step_by_step,0.62672234
0.1,Q11,detailed,brief,0.3937577
0.1,Q11,detailed,expert,0.33982643
0.1,Q11,detailed,detailed,0.415365
0.1,Q11,detailed,noisy,0.40150487
0.1,Q11,detailed,original,0.47449136
0.1,Q11,detailed,step_by_step,0.5546817
0.1,Q11,detailed,brief,0.38015437
0.1,Q11,detailed,expert,0.2849725
0.1,Q11,detailed,detailed,0.6131385
0.1,Q11,detailed,noisy,0.47449136
0.1,Q11,detailed,original,0.56442606
0.1,Q11,detailed,step_by_step,0.6362189
0.1,Q11,detailed,brief,0.5255558
0.1,Q11,detailed,expert,0.46359116
0.1,Q11,detailed,detailed,0.51118875
