model,temperature,qid,avg_similarity,std_similarity,min_similarity,stability_score,contradiction_rate,final_stability_score
meta-llama/llama-3.3-70b-instruct,0.5,Q6,0.9029094,0.040228575,0.8231603,0.8626808,0.0666666666666666,0.6970100804166666
meta-llama/llama-3.2-1b-instruct,0.1,Q1,0.88709635,0.028610226,0.8385865,0.8584861,0.0,0.6956835761
meta-llama/llama-3.3-70b-instruct,0.1,Q6,0.8965236,0.034413796,0.83866286,0.8621098,0.1333333333333333,0.6938179959333333
meta-llama/llama-3.3-70b-instruct,1.5,Q9,0.89883274,0.03630681,0.8314377,0.86252594,0.1333333333333333,0.6934744958333333
meta-llama/llama-3.1-8b-instruct,1.0,Q1,0.8849829,0.029638508,0.8335595,0.85534436,0.0,0.6932558638
meta-llama/llama-3.2-1b-instruct,1.5,Q6,0.89943725,0.039806202,0.8129101,0.85963106,0.0666666666666666,0.6929401063666667
meta-llama/llama-3.2-1b-instruct,2.0,Q1,0.8816686,0.029413108,0.82812387,0.8522555,0.0,0.6902139678
meta-llama/llama-3.1-8b-instruct,0.1,Q3,0.8917933,0.04513614,0.80833226,0.84665716,0.0,0.6899720109999999
meta-llama/llama-3.2-1b-instruct,1.5,Q1,0.880797,0.029438794,0.82798374,0.85135823,0.0,0.6896591289
meta-llama/llama-3.1-8b-instruct,1.0,Q6,0.87799925,0.032563675,0.8208072,0.84543556,0.0,0.68607643875
meta-llama/llama-3.2-1b-instruct,0.5,Q6,0.88690454,0.042900994,0.818345,0.84400356,0.0666666666666666,0.6860432415666666
meta-llama/llama-3.3-70b-instruct,1.0,Q8,0.891111,0.04766898,0.79150647,0.843442,0.0,0.6858175470000001
meta-llama/llama-3.2-1b-instruct,1.0,Q1,0.87782997,0.04027624,0.82321584,0.83755374,0.0,0.685299714
meta-llama/llama-3.2-1b-instruct,1.5,Q5,0.8913208,0.05313043,0.79127556,0.8381904,0.0,0.6850780275
meta-llama/llama-3.2-1b-instruct,2.0,Q6,0.8958329,0.04102677,0.81465685,0.8548061,0.2,0.6842770945
meta-llama/llama-3.1-8b-instruct,1.0,Q9,0.8874868,0.03902874,0.7823955,0.84845805,0.0,0.683116869
meta-llama/llama-3.3-70b-instruct,1.5,Q1,0.8748743,0.03911857,0.8167126,0.8357557,0.0,0.6823993145
google/gemma-2-27b-it,0.5,Q1,0.88305706,0.053388257,0.78732944,0.8296688,0.0,0.67929188545
meta-llama/llama-3.3-70b-instruct,0.5,Q1,0.88039804,0.05132825,0.7933029,0.8290698,0.0,0.6792001665
meta-llama/llama-3.1-8b-instruct,0.5,Q1,0.8717539,0.03712837,0.8080832,0.8346255,0.0,0.6790997245
meta-llama/llama-3.1-8b-instruct,1.0,Q8,0.8662613,0.03212143,0.815839,0.8341399,0.0,0.6781063655
meta-llama/llama-3.1-8b-instruct,0.1,Q1,0.8719944,0.04358306,0.80652314,0.82841134,0.0,0.677963809
meta-llama/llama-3.3-70b-instruct,1.5,Q8,0.8867396,0.05230172,0.7851473,0.8344379,0.0666666666666666,0.6778946286666667
meta-llama/llama-3.3-70b-instruct,1.0,Q1,0.87388325,0.046456058,0.79882145,0.8274272,0.0,0.6771258312999999
google/gemma-2-27b-it,0.1,Q1,0.8870895,0.061644856,0.7676803,0.82544464,0.0,0.6765430316
meta-llama/llama-3.1-8b-instruct,1.5,Q3,0.86786306,0.039511215,0.8021651,0.82835186,0.0,0.67522417375
meta-llama/llama-3.1-8b-instruct,0.5,Q3,0.8811905,0.048225295,0.77386457,0.8329652,0.0666666666666666,0.6729200864166667
meta-llama/llama-3.3-70b-instruct,0.1,Q9,0.8824008,0.07368505,0.76687324,0.80871576,0.0,0.6717623705
meta-llama/llama-3.3-70b-instruct,0.5,Q9,0.88646597,0.07713856,0.7536613,0.8093274,0.0,0.671041058
google/gemma-2-27b-it,0.1,Q8,0.8897056,0.08328117,0.7456472,0.80642444,0.0,0.6704606245
meta-llama/llama-3.1-8b-instruct,0.1,Q5,0.8588728,0.042287048,0.79307455,0.8165857,0.0,0.6675955328000001
google/gemma-2-27b-it,0.1,Q5,0.8859893,0.066758774,0.7183008,0.81923056,0.0,0.6652399239000001
google/gemma-2-27b-it,0.5,Q6,0.87387913,0.057135012,0.7729304,0.81674415,0.1333333333333333,0.6636766395333331
google/gemma-2-27b-it,0.1,Q7,0.85997397,0.051950503,0.7712934,0.80802345,0.0,0.6624504865499999
google/gemma-2-27b-it,0.1,Q9,0.8632631,0.057564463,0.75444424,0.80569863,0.0,0.66021203855
google/gemma-2-27b-it,1.0,Q7,0.85010743,0.0561433,0.7915484,0.79396415,0.0,0.659952643
google/gemma-2-27b-it,0.5,Q5,0.8816528,0.07152331,0.70686555,0.81012946,0.0,0.6596362935
google/gemma-2-27b-it,0.1,Q6,0.85434026,0.04915407,0.764742,0.8051862,0.0,0.6581794455
meta-llama/llama-3.3-70b-instruct,0.5,Q10,0.8534382,0.052300915,0.76705873,0.80113727,0.0,0.6576295287499999
meta-llama/llama-3.1-8b-instruct,0.5,Q13,0.8637377,0.058243975,0.73777705,0.8054937,0.0,0.65706143375
google/gemma-2-27b-it,0.5,Q9,0.8513729,0.060698546,0.76455915,0.7906743,0.0,0.6546307881
meta-llama/llama-3.1-8b-instruct,0.1,Q13,0.8464914,0.037173327,0.7750472,0.80931807,0.0666666666666666,0.6539949476166668
google/gemma-2-27b-it,1.0,Q1,0.8570766,0.04788674,0.748599,0.80918986,0.0666666666666666,0.6534494156666667
meta-llama/llama-3.3-70b-instruct,0.1,Q10,0.84998095,0.05542815,0.747653,0.7945528,0.0666666666666666,0.6478716141666667
meta-llama/llama-3.3-70b-instruct,0.1,Q1,0.87207395,0.0518531,0.7654426,0.8202208,0.4666666666666667,0.6452215916666667
meta-llama/llama-3.2-1b-instruct,0.5,Q10,0.8735616,0.11576368,0.6922234,0.75779796,0.0,0.645217088
meta-llama/llama-3.1-8b-instruct,0.5,Q10,0.8516184,0.066403314,0.72052944,0.7852151,0.0,0.6451164308999999
meta-llama/llama-3.1-8b-instruct,0.1,Q7,0.82764256,0.043793466,0.77307916,0.7838491,0.0,0.6446323480999999
meta-llama/llama-3.2-1b-instruct,2.0,Q5,0.85184896,0.061172504,0.70882434,0.7906765,0.0,0.6436983683999999
meta-llama/llama-3.1-8b-instruct,1.0,Q5,0.83211654,0.050930053,0.7542349,0.78118646,0.0,0.64247739605
meta-llama/llama-3.3-70b-instruct,1.0,Q6,0.83305305,0.049327143,0.7513753,0.7837259,0.0666666666666666,0.6393744852166667
google/gemma-2-27b-it,0.1,Q2,0.84828746,0.063741505,0.7273791,0.78454596,0.1333333333333333,0.6382204035833333
google/gemma-2-27b-it,0.5,Q7,0.8248299,0.07153201,0.7554204,0.75329787,0.0,0.6352522184999999
meta-llama/llama-3.3-70b-instruct,0.1,Q2,0.8291839,0.06977234,0.73290366,0.7594115,0.0,0.633625221
meta-llama/llama-3.1-8b-instruct,1.0,Q7,0.81877047,0.042834297,0.7434571,0.7759362,0.0,0.63352855745
meta-llama/llama-3.2-1b-instruct,1.0,Q5,0.8524358,0.09036522,0.6674442,0.7620706,0.0,0.631395537
meta-llama/llama-3.3-70b-instruct,1.0,Q5,0.8294802,0.06719743,0.7148689,0.7622827,0.0,0.6305822855000001
google/gemma-2-27b-it,0.5,Q2,0.8316308,0.07071427,0.6981397,0.76091653,0.0,0.6279992795
meta-llama/llama-3.2-1b-instruct,0.1,Q2,0.8093089,0.05057151,0.7486973,0.7587374,0.0,0.6277390735
meta-llama/llama-3.1-8b-instruct,0.1,Q2,0.8127149,0.05389224,0.73678887,0.7588226,0.0,0.6269028780000001
google/gemma-2-27b-it,1.0,Q5,0.8330521,0.059649434,0.67054707,0.7734027,0.0,0.6249932589
meta-llama/llama-3.2-1b-instruct,1.0,Q10,0.8599314,0.13333374,0.64350986,0.72659767,0.0,0.6246607510000001
meta-llama/llama-3.2-1b-instruct,0.1,Q7,0.8144452,0.08711831,0.7348181,0.72732687,0.0,0.6225629935
meta-llama/llama-3.1-8b-instruct,0.5,Q5,0.8228198,0.07210465,0.68965644,0.7507152,0.0,0.6208074705
meta-llama/llama-3.3-70b-instruct,1.5,Q6,0.82695967,0.09214787,0.68179697,0.7348118,0.0,0.6187130155
meta-llama/llama-3.2-1b-instruct,0.5,Q5,0.8447321,0.10335861,0.628266,0.7413735,0.0666666666666666,0.6136553351666667
meta-llama/llama-3.1-8b-instruct,1.5,Q1,0.7967846,0.053077884,0.7135844,0.7437067,0.0,0.6128259574
meta-llama/llama-3.2-1b-instruct,0.5,Q7,0.80678123,0.08912121,0.7216549,0.71766,0.0666666666666666,0.6116982031666668
google/gemma-2-27b-it,0.5,Q8,0.8458053,0.13985845,0.6073042,0.7059468,0.0,0.6079652524999999
meta-llama/llama-3.2-1b-instruct,2.0,Q7,0.7906849,0.057575736,0.7100568,0.7331091,0.0,0.6077859395999999
meta-llama/llama-3.3-70b-instruct,0.1,Q5,0.8098871,0.10450651,0.6723985,0.7053806,0.0,0.6047359835
meta-llama/llama-3.2-1b-instruct,1.5,Q7,0.79074556,0.05872175,0.6941795,0.73202384,0.0,0.6044749734999999
meta-llama/llama-3.2-1b-instruct,0.1,Q10,0.84609425,0.15928282,0.59589875,0.68681145,0.0,0.602943877
meta-llama/llama-3.2-1b-instruct,2.0,Q10,0.84405404,0.15679963,0.5950854,0.6872544,0.0,0.6019295595
meta-llama/llama-3.3-70b-instruct,1.0,Q2,0.7919342,0.08024204,0.6714018,0.71169215,0.0,0.5974045739999999
meta-llama/llama-3.3-70b-instruct,0.5,Q5,0.80160207,0.09311943,0.6426399,0.7084826,0.0,0.5955213075
meta-llama/llama-3.2-1b-instruct,1.5,Q10,0.8399078,0.162032,0.58367896,0.6778758,0.0666666666666666,0.5930423386666666
meta-llama/llama-3.1-8b-instruct,0.1,Q10,0.82591075,0.13595052,0.58046234,0.68996024,0.0,0.5912463399999999
google/gemma-2-27b-it,1.0,Q6,0.82079154,0.109182015,0.6339167,0.71160954,0.2666666666666666,0.5895476284166666
meta-llama/llama-3.1-8b-instruct,1.5,Q9,0.76828617,0.0751161,0.6764581,0.6931701,0.0,0.584995907
meta-llama/llama-3.1-8b-instruct,1.0,Q10,0.7837219,0.096765414,0.6375568,0.6869565,0.1333333333333333,0.5765630212333331
meta-llama/llama-3.2-1b-instruct,1.0,Q7,0.76664966,0.073697776,0.6255065,0.6929519,0.0,0.5740364296
meta-llama/llama-3.1-8b-instruct,1.5,Q8,0.7254059,0.041844588,0.65855837,0.68356127,0.0,0.5606785258
google/gemma-2-27b-it,1.0,Q2,0.7635876,0.08345118,0.55440617,0.68013644,0.0,0.556516117
google/gemma-2-27b-it,0.5,Q13,0.7837798,0.1417909,0.49991652,0.6419889,0.0,0.548982549
google/gemma-2-27b-it,1.0,Q4,0.76773655,0.1352352,0.5237461,0.63250136,0.0,0.54510587
google/gemma-2-27b-it,1.5,Q6,0.7324133,0.096230306,0.5648289,0.63618296,0.0,0.5379792140999999
meta-llama/llama-3.3-70b-instruct,1.5,Q3,0.7859466,0.19406712,0.46224463,0.5918795,0.0,0.534906818
meta-llama/llama-3.1-8b-instruct,1.0,Q4,0.76225406,0.15658851,0.4590587,0.60566556,0.0,0.5256758995
meta-llama/llama-3.3-70b-instruct,1.5,Q4,0.75422996,0.14970943,0.46690303,0.60452056,0.0,0.5234621675
meta-llama/llama-3.3-70b-instruct,0.5,Q7,0.7324928,0.14986846,0.51135194,0.5826243,0.0,0.519285799
meta-llama/llama-3.3-70b-instruct,0.5,Q13,0.7705193,0.18787523,0.42526805,0.5826441,0.0,0.5191839055
google/gemma-2-27b-it,0.5,Q10,0.76202583,0.16574572,0.4336601,0.5962801,0.0,0.51908566
meta-llama/llama-3.1-8b-instruct,0.5,Q4,0.7424485,0.15349591,0.4704944,0.5889526,0.0,0.5165435934999999
meta-llama/llama-3.2-1b-instruct,2.0,Q2,0.734861,0.15695556,0.49055627,0.5779055,0.0,0.51548452
meta-llama/llama-3.2-1b-instruct,1.0,Q2,0.7333623,0.15436375,0.4867431,0.57899857,0.0,0.5142114375
meta-llama/llama-3.3-70b-instruct,0.1,Q7,0.72129875,0.14036909,0.5115086,0.58092964,0.0,0.5140256065
meta-llama/llama-3.1-8b-instruct,0.1,Q4,0.73679286,0.1602631,0.46650493,0.57652974,0.0,0.511337237
meta-llama/llama-3.1-8b-instruct,1.5,Q4,0.7315415,0.18614589,0.49937403,0.5453956,0.0,0.5108778224999999
meta-llama/llama-3.2-1b-instruct,1.5,Q2,0.73386693,0.16849901,0.47842234,0.56536794,0.0,0.5107297745
meta-llama/llama-3.2-1b-instruct,0.5,Q2,0.72842586,0.1564334,0.47842234,0.57199246,0.0,0.509274974
meta-llama/llama-3.3-70b-instruct,0.5,Q4,0.7404948,0.16262358,0.43768877,0.5778712,0.0,0.507441097
google/gemma-2-27b-it,1.0,Q9,0.7487725,0.17970826,0.41956198,0.56906426,0.0,0.5062196569999999
meta-llama/llama-3.3-70b-instruct,1.0,Q7,0.7174742,0.16336863,0.4777773,0.5541056,0.0,0.5015346855
meta-llama/llama-3.3-70b-instruct,0.1,Q4,0.74525076,0.15975988,0.38701424,0.5854909,0.0,0.500589322
meta-llama/llama-3.3-70b-instruct,1.0,Q13,0.7568886,0.18428305,0.36498994,0.5726056,0.0,0.49948869049999994
meta-llama/llama-3.3-70b-instruct,1.5,Q7,0.70176786,0.14474869,0.49828267,0.5570192,0.0,0.49900494650000005
google/gemma-2-27b-it,0.5,Q4,0.7382656,0.1644194,0.3989269,0.57384616,0.0,0.49808182999999995
google/gemma-2-27b-it,0.1,Q4,0.72489995,0.15839487,0.43219995,0.5665051,0.0,0.49762072949999997
meta-llama/llama-3.3-70b-instruct,1.0,Q4,0.72845215,0.16434938,0.41166788,0.56410277,0.0,0.4947524589999999
meta-llama/llama-3.1-8b-instruct,0.5,Q7,0.70047724,0.116728984,0.47326297,0.5837483,0.0666666666666666,0.49409625706666666
meta-llama/llama-3.3-70b-instruct,0.5,Q2,0.71222234,0.16821575,0.4516722,0.5440066,0.0,0.4924354815
meta-llama/llama-3.1-8b-instruct,0.5,Q12,0.6573546,0.07860604,0.5352286,0.5787486,0.0,0.48966757399999994
meta-llama/llama-3.3-70b-instruct,0.1,Q11,0.6812887,0.124298975,0.49071026,0.5569897,0.0,0.48827042574999996
meta-llama/llama-3.3-70b-instruct,1.0,Q10,0.74192685,0.177359,0.35343876,0.56456786,0.0666666666666666,0.48590667866666665
google/gemma-2-27b-it,0.1,Q13,0.7087046,0.14707601,0.4116093,0.5616286,0.0,0.4854832185
meta-llama/llama-3.3-70b-instruct,0.1,Q13,0.7442872,0.2295594,0.3084255,0.5147278,0.0,0.47382351000000006
meta-llama/llama-3.1-8b-instruct,1.0,Q2,0.68475616,0.17547058,0.39806783,0.50928557,0.0,0.46414667499999995
meta-llama/llama-3.1-8b-instruct,0.5,Q2,0.67544746,0.17216013,0.41733652,0.5032873,0.0,0.4629117605
google/gemma-2-27b-it,0.1,Q10,0.7167872,0.17441978,0.29015684,0.54236746,0.0,0.461940721
google/gemma-2-27b-it,1.0,Q13,0.6712125,0.15175954,0.40574586,0.5194529,0.0,0.46111274099999994
meta-llama/llama-3.3-70b-instruct,2.0,Q8,0.6428813,0.11380074,0.452171,0.5290805,0.0,0.459092869
meta-llama/llama-3.3-70b-instruct,1.5,Q2,0.68777364,0.18196912,0.36796516,0.50580454,0.0,0.458961848
google/gemma-2-27b-it,1.0,Q10,0.69682986,0.18436332,0.3091965,0.51246655,0.0,0.452282718
meta-llama/llama-3.3-70b-instruct,1.0,Q9,0.72021765,0.27340037,0.2811157,0.44681728,0.0,0.44734367450000007
meta-llama/llama-3.3-70b-instruct,1.5,Q10,0.67251265,0.18602195,0.3555457,0.4864907,0.0,0.44671343750000003
google/gemma-2-27b-it,1.0,Q11,0.61063963,0.086819455,0.46053123,0.52382016,0.0,0.44546710575
meta-llama/llama-3.3-70b-instruct,1.5,Q13,0.6951323,0.26171365,0.2916427,0.43341866,0.0,0.43615087249999995
meta-llama/llama-3.3-70b-instruct,2.0,Q2,0.593759,0.08038256,0.42979676,0.5133764,0.0,0.430157368
meta-llama/llama-3.1-8b-instruct,1.5,Q2,0.6277614,0.14527422,0.34297565,0.4824872,0.0,0.423460837
meta-llama/llama-3.1-8b-instruct,2.0,Q10,0.5507252,0.03077169,0.4718437,0.51995355,0.0,0.42018810650000005
meta-llama/llama-3.1-8b-instruct,1.0,Q13,0.66583693,0.20447345,0.26504445,0.4613635,0.2666666666666666,0.40850669716666665
meta-llama/llama-3.1-8b-instruct,2.0,Q6,0.5283116,0.047699757,0.45329732,0.48061186,0.0,0.40049146045
google/gemma-2-27b-it,2.0,Q10,0.5267403,0.050459113,0.4443632,0.4762812,0.0,0.39734795305000004
google/gemma-2-27b-it,2.0,Q2,0.5325205,0.053537015,0.4451961,0.47898346,0.0666666666666666,0.3971876344166666
google/gemma-2-27b-it,2.0,Q6,0.52059656,0.050958216,0.4503227,0.46963835,0.0,0.39477874360000004
meta-llama/llama-3.3-70b-instruct,2.0,Q12,0.5317924,0.06272886,0.41065836,0.46906355,0.0,0.391797783
meta-llama/llama-3.3-70b-instruct,0.5,Q11,0.59957045,0.20506853,0.3003316,0.39450192,0.0,0.3890483105
google/gemma-2-27b-it,0.1,Q11,0.6115695,0.17649731,0.23792525,0.4350722,0.0,0.3880521535
meta-llama/llama-3.1-8b-instruct,2.0,Q5,0.51522595,0.052812107,0.4173866,0.46241385,0.0,0.3846910739500001
meta-llama/llama-3.3-70b-instruct,1.0,Q12,0.5501793,0.13884331,0.36666572,0.411336,0.0,0.3826142275
google/gemma-2-27b-it,1.5,Q3,0.58232003,0.17694405,0.3199894,0.405376,0.1333333333333333,0.3801816238333333
meta-llama/llama-3.2-1b-instruct,2.0,Q13,0.58883,0.19028008,0.32519644,0.3985499,0.2666666666666666,0.3764619426666666
google/gemma-2-27b-it,2.0,Q11,0.51505166,0.06616604,0.37410903,0.44888562,0.0,0.373927896
google/gemma-2-27b-it,2.0,Q4,0.5030339,0.06877324,0.40903643,0.43426064,0.0,0.37331164
google/gemma-2-27b-it,0.5,Q12,0.554535,0.1525804,0.2983388,0.4019546,0.0,0.3695017
google/gemma-2-27b-it,0.1,Q12,0.54988056,0.13246873,0.29033336,0.41741183,0.0,0.36812469849999996
google/gemma-2-27b-it,2.0,Q3,0.5018486,0.048029426,0.39323747,0.45381916,0.1333333333333333,0.36588557343333333
meta-llama/llama-3.1-8b-instruct,1.5,Q6,0.5874285,0.17257965,0.19501184,0.41484886,0.0,0.36557252050000005
meta-llama/llama-3.1-8b-instruct,2.0,Q2,0.49406853,0.06646605,0.38968274,0.42760247,0.0,0.3644077585
google/gemma-2-27b-it,2.0,Q1,0.4959377,0.06513003,0.37380093,0.43080768,0.0,0.3625533015
meta-llama/llama-3.3-70b-instruct,1.5,Q5,0.5647186,0.19660056,0.2189522,0.36811805,0.0666666666666666,0.34979818266666657
meta-llama/llama-3.3-70b-instruct,1.0,Q11,0.57589847,0.25985208,0.20657873,0.3160464,0.0,0.347877016
google/gemma-2-27b-it,2.0,Q5,0.48058388,0.06718339,0.37597206,0.41340047,0.1333333333333333,0.3468005648333333
meta-llama/llama-3.3-70b-instruct,2.0,Q5,0.47752407,0.07035512,0.3512462,0.40716895,0.0,0.34621041399999997
meta-llama/llama-3.2-1b-instruct,2.0,Q11,0.51229554,0.13823822,0.2816884,0.37405732,0.0,0.34297927100000003
meta-llama/llama-3.1-8b-instruct,0.1,Q11,0.5371168,0.22314739,0.2232204,0.31396943,0.0,0.3334420515
meta-llama/llama-3.2-1b-instruct,1.5,Q11,0.4940626,0.1579197,0.31977236,0.3361429,0.0666666666666666,0.33337074366666664
meta-llama/llama-3.3-70b-instruct,0.5,Q12,0.5541785,0.22026345,0.19567241,0.33391502,0.1333333333333333,0.3319353978333333
google/gemma-2-27b-it,1.0,Q12,0.50322896,0.1614574,0.24946932,0.34177154,0.0,0.32761263
google/gemma-2-27b-it,2.0,Q13,0.46860138,0.065777324,0.3525046,0.40282404,0.3333333333333333,0.32512848273333333
meta-llama/llama-3.1-8b-instruct,1.5,Q7,0.56144786,0.21873853,0.15211543,0.34270933,0.2,0.3244810225
google/gemma-2-27b-it,2.0,Q9,0.4570274,0.08362981,0.2985217,0.3733976,0.0666666666666666,0.31804297516666663
google/gemma-2-27b-it,2.0,Q8,0.45114765,0.09213366,0.29202756,0.35901397,0.0,0.315274053
meta-llama/llama-3.3-70b-instruct,0.1,Q12,0.5600678,0.29144496,0.11155371,0.26862282,0.0666666666666666,0.31130134466666665
meta-llama/llama-3.3-70b-instruct,2.0,Q3,0.56435335,0.23085546,0.01896021,0.33349788,0.0,0.30777573299999994
meta-llama/llama-3.3-70b-instruct,2.0,Q6,0.45778227,0.13185062,0.20407677,0.32593167,0.0,0.29570712299999996
meta-llama/llama-3.3-70b-instruct,2.0,Q10,0.48245662,0.16376463,0.13968982,0.318692,0.0,0.29284724149999997
google/gemma-2-27b-it,2.0,Q7,0.41258806,0.07952688,0.28544933,0.3330612,0.0,0.29271367
google/gemma-2-27b-it,2.0,Q12,0.4427757,0.1324264,0.18659107,0.3103493,0.0,0.283119674
meta-llama/llama-3.2-1b-instruct,0.5,Q11,0.43799788,0.18005095,0.22432837,0.2579469,0.0,0.2806567595
google/gemma-2-27b-it,0.5,Q11,0.4905091,0.25021088,0.16477531,0.24029821,0.2,0.27972888999999995
meta-llama/llama-3.2-1b-instruct,0.5,Q13,0.4810634,0.21667504,0.15596905,0.26438835,0.3333333333333333,0.27066392733333333
meta-llama/llama-3.1-8b-instruct,1.5,Q13,0.4359843,0.18069384,0.1744084,0.25529048,0.0,0.26936818399999995
google/gemma-2-27b-it,1.5,Q2,0.47134823,0.20874406,0.119666934,0.26260418,0.1333333333333333,0.2687640491333333
meta-llama/llama-3.2-1b-instruct,1.0,Q13,0.44836828,0.2189863,0.17312786,0.22938198,0.1333333333333333,0.2641319283333333
meta-llama/llama-3.3-70b-instruct,2.0,Q9,0.4603875,0.1954075,0.1353713,0.26498002,0.2,0.263995635
google/gemma-2-27b-it,1.5,Q12,0.41236112,0.09439779,0.22017768,0.31796333,0.2666666666666666,0.2639592061666667
meta-llama/llama-3.2-1b-instruct,1.0,Q11,0.45149252,0.18395986,0.13085788,0.26753265,0.1333333333333333,0.2628064423333334
meta-llama/llama-3.1-8b-instruct,1.0,Q11,0.42006043,0.18823312,0.18923786,0.2318273,0.0,0.2616488619999999
meta-llama/llama-3.1-8b-instruct,0.1,Q12,0.42365018,0.16494665,0.17675507,0.25870353,0.0666666666666666,0.26146579116666663
